00-00	KAQ KEYMI LLAPAN PATSACHOW IMANA KAQ NUNAKUNAPAPIS DERECHUNKUNA
00-01	Musyantsikmi keynow kashqan ta: Imana kaq nunaku napis nunam kayan. Llapantsik tseynowlla kashqaqa tseynowllam derëchuñtsikkuna kapamantsik. I tseynow kaptinmi kushi, shumaq, allilla kawashun derëchuntsikkunawan (kikintsikpa kaqwan).
00-02	I derëchukunata mana wiyakurninpis mana alli nunakunam allápa allqotsayarqan wakin nunakunata. I tseynow allqotsanqanta musyar llapan patsachow nunakuna llakikur ajayarqan. I yapey mana tseynow kananpaqmi munantsik key patsa keynow kananta:
00-03	Parleyta munashqaqa yarpanqantsikmannowmi parlashwan llapantsik nunakuna. Kreyinqantsikmannowmi imamanpis kreyikurnin kashwan llapantsik nunakuna. Ama ni pipis mantsakutsuntsu ni imapitapis. I manam ni pipis pishupukoq kanmantsu.
00-04	Allápa mana alli allqotsaq awtoridakuna kaptenqa mana meymanpis tsatakiyta, pwedirninmi awtorida wajaq sharkuyanman. I tseynow mana kananpaqmi alli kanman llapan nunakunapa derëchunkuna leykunachow alli qellqashqa kanman, llapantsik reqinapaq.
00-05	Imey kutipis mas shumaq kawakiychow llapan nasyonkuna jukninwan jukninwan kayánanmi kanan.
00-06	Nasyonkuna purwakarkur; kanan Naciones Unidas jutiyoq, eyllukayashqanchow nasyonkunam konstitusyonchow áninakuyarqan, keynow nunakunapa derëchunkuna kananpaq. Llapan imana kaq nunapapis derëchunkuna kanman. Pi nunapis nuna kanqannowmi ima nunatapis kikintanow rikanman. I nuna karninmi: Oliqopis, warmipis derëchunkunachowqa mana meyqanpis jukláyatsu kayanman. Llapan nasyonkunam ániyashqa Naciones Unidas yanapeyta, markakunachow key konstitusyonta mana qonqarishpa llapan nunakunata reqitsiyanqa shumaq kawakuyánanpaq.
00-07	Naciones Unidas eyllukayanqan kaq nasyonkunam yachatsinakuyashqa tsey kamatsiyanqanchow keynow rurananpaq. Nasyonkunachowmi llapan nunakunata yachatsikuyanman nunakunapa derëchunkúnata wiyakurnin kayananpaq.
00-08	Tsey intutsinakuyanqanchow keynow kananpaq nasyonkunam key derëchukunata llapan nunakunata káyitsiyanman.
00-09	I tseynow kaptinmi nasyonkuna purwakayanqanchow (asamblea generalchow) kanan willakayámushqa Llapan Nunakunapa Derëchun (Los Derechos Humanos). Key willakayámunqanchowmi, llapan patsachow imana kaq nunakunapapis derëchunkuna keykan. I mey markachowpis llapan nunakunam kawayanman key derëchukuna keykanqanmannow. I pi nunapis o gobiyernupis key derëchukunata yawarninmi imanowpapis nunakunata yachatsikuyanman ániyánanpaq. I mey nasyonchowpis llapan nunakuna key derëchukunata káyiyánanpaqmi kikin nasyonninchow i jinantin nasyonkunachowpis tukiy láyapa willakuyanman. I Naciones Unidaschow kaq nasyonkunachowpis i tsey nasyonkunapa kallpan kaq nasyonkunachowpis tseynow rurayanman.
01-00	Artikulu 1.
01-01	Meyqan nunapis manam pipa sirweqnin nuna kananpaqtsu yurikushqa. I nuna karninmi meyqan nunapis juk láyatsu kayanman derëchunkunachowpis. I yarpachakiyta yacharninmi i allita mana allita shonqonkunachow mákurninmi nunakuna jukninta wiyanakur kayanman.
02-00	Artikulu 2.
02-01	Key niyashqanmunqanchow derëchukunaqa llapan nunakunapaqmi kanqa imana kaq láya nunakunapaqpis, ima rikoq nunakunapis, warmikunapaqpis, ollqokunapaqpis, i mana kaq idiyomata parlaq nunakunapaqpis, ima relijyonninchow kaq nunakunapaqpis, ima politikuman kreyeq nunakunapaqpis, imaman kreyikoq nunakunapaqpis, meylo markayoq nunakunapaqpis, waktsa nunakunapaqpis kapoqyoq nunakunapaqpis, i imana kaq yurishqa nunakunapaqpis.
02-02	Llapan nunakunapa derëchunkunapis meyqan nasyonkunachowpis imanow gobyernu kaptinpis, nasyonkuna, ichik nasyonkunata nitirarpis, key derëchukunataqa niyaman qonqayanmantsu.
03-00	Artikulu 3.
03-01	Juk nunapa derëchunmi kanman kawananpaq, i mana pipis jarqarishqa purikunanpaq i mana pipis peyta allqotsananpaq.
04-00	Artikulu 4.
04-01	Manam meyqan nunapis pipa sirweqnin nuna kanmantsu. Manam meyqan nunatapis sirweqnin kananpaq ni imanowpa rantikushqa kanmantsu.
05-00	Artikulu 5.
05-01	Manam ni meyqan nunata imeyká ashnutanow rutatarnin, mana ankuparnin maqarnin rurayanmantsu ni pikunapis.
06-00	Artikulu 6.
06-01	Llapan nunakunapa derëchunkunam kanman mey markachowpis leykuna kanqanmannow kananpaq.
07-00	Artikulu 7.
07-01	Justisyankunachowmi llapan nunakunatam justisyankunataqa ratatsiyanman. Meyqan nuna kaptinpis llapanpaqmi key leykunaqa. Itsanqa juk awtorida ninqa meyqan nunatapis keynow nishpa: - Qampaqqa manam derëchiyki kantsu justisyachow, o keynow nishpa ninqa: - Key nunapaqqa manam justisya kanqatsu - nishpa. Tseynow niptinpis llapan nunakunapaqmi key derë'chunkuna. I tseynow nirninqa key deklarasyonchow ninqanta manam wiyakuyantsu.
08-00	Artikulu 8.
